conv_idx, latency (ms)
0, 214.41
1, 14.01
2, 18.77
3, 52.11
4, 0.10
5, 14.68
6, 0.13
7, 0.10
8, 0.10
9, 0.53
10, 1.10
11, 5.50
12, 11.71
13, 287.78
14, 3.13
15, 3.50
16, 16.18
17, 0.10
18, 0.09
19, 0.12
20, 0.10
21, 0.09
22, 0.13
23, 0.09
24, 4.29
25, 10.01
26, 2.46
27, 3.24
28, 3.40
29, 13.42
30, 0.10
31, 0.09
32, 0.12
33, 0.10
34, 0.09
35, 0.12
36, 0.10
37, 0.09
38, 0.12
39, 0.10
40, 0.09
41, 0.15
42, 0.09
43, 3.82
44, 10.93
45, 2.84
46, 2.65
47, 3.55
48, 12.17
49, 0.15
50, 0.09
51, 0.13
52, 0.15
